CoM_x_control,new_EP_lx,new_EP_rx
-0.000057,0.000000,0.000000
-0.000355,0.000000,0.000000
-0.000792,0.000000,0.000000
-0.001047,0.000000,0.000000
-0.001133,0.000000,0.000000
-0.001938,0.000000,0.000000
-0.003580,0.000000,0.000000
-0.004790,0.000000,0.000000
-0.005036,0.000000,0.000000
-0.004277,0.000000,0.000000
-0.002848,0.000000,0.000000
-0.001256,0.000000,0.000000
-0.000082,0.000000,0.000000
0.000658,0.000000,0.000000
0.000260,0.000000,0.000000
-0.001385,0.000000,0.000000
-0.003259,0.000000,0.000000
-0.006180,0.000000,0.000000
-0.005110,0.000000,0.000000
-0.000539,0.000000,0.000000
0.001840,0.000000,0.000000
0.002099,0.000000,0.000000
0.001666,0.000000,0.000000
0.000180,0.000000,0.000000
-0.002683,0.000000,0.000000
-0.006300,0.000000,0.000000
-0.010512,0.000000,0.000000
-0.013568,0.000000,0.000000
-0.015283,-0.016514,-0.016514
-0.015286,-0.022994,-0.025519
-0.014475,-0.008045,-0.035454
-0.007415,0.045043,-0.046680
0.003736,0.132767,-0.059605
0.012996,0.232929,-0.074700
0.020305,0.315763,-0.092514
0.020120,0.358894,-0.113697
0.014630,0.358456,-0.139019
0.006090,0.330598,-0.169402
-0.005180,0.294048,-0.205952
-0.017804,0.250000,-0.250000
-0.030738,0.197843,-0.302157
-0.042359,0.154539,-0.345461
-0.052491,0.116051,-0.379151
-0.058661,0.081788,-0.366135
-0.059100,0.050502,-0.275224
-0.057218,0.021055,-0.113438
-0.052818,-0.007625,0.076869
-0.045776,-0.036583,0.239143
-0.036589,-0.066873,0.331050
-0.023339,-0.099597,0.345605
-0.009482,-0.135948,0.314052
0.002813,-0.177247,0.272753
0.012767,-0.225000,0.225000
0.019750,-0.271942,0.178058
0.024021,-0.310750,0.139250
0.024303,-0.341006,0.104701
0.019532,-0.329441,0.073964
0.013936,-0.248152,0.045919
0.009345,-0.103422,0.019546
0.001808,0.066853,-0.006115
-0.007971,0.212071,-0.032000
-0.017701,0.294356,-0.059049
-0.025840,0.307460,-0.088247
-0.029454,0.279341,-0.120659
-0.029785,0.242537,-0.157463
-0.028560,0.200000,-0.200000
-0.024733,0.164761,-0.235239
-0.019357,0.135521,-0.264479
-0.013112,0.111215,-0.286765
-0.005956,0.090957,-0.287116
0.002252,0.074011,-0.252610
0.011847,0.059760,-0.186343
0.019908,0.047684,-0.106214
0.022252,0.037344,-0.036035
0.022141,0.028363,0.006436
0.018120,0.020416,0.018395
0.009066,0.013211,0.013211
-0.001862,0.006487,0.006487
