ideal_roll_vel,init_roll_pos,left_control_once_roll,left_control_total_roll,passfilter_pres_roll_pos,passfilter_pres_roll_vel,pres_roll_pos,pres_roll_vel,right_control_once_roll,right_control_total_roll,smaple_times_count
0.000000,none,-0.008695,0.128270,1.054000,14.463628,2.004630,2.794329,0.000000,0.000000,30.000000
0.000000,none,-0.008695,0.128270,0.952306,-3.389799,-0.525958,-84.352951,0.000000,0.000000,30.000000
0.000000,none,-0.008695,0.128270,0.613746,-11.285316,0.335399,28.711908,0.000000,0.000000,30.000000
0.000000,none,-0.008695,0.128270,0.548061,-2.189502,0.485605,5.006855,0.000000,0.000000,30.000000
0.000000,none,-0.008695,0.128270,0.520637,-0.914131,0.440807,-1.493237,0.000000,0.000000,30.000000
0.000000,none,-0.008695,0.128270,0.449907,-2.357676,0.162755,-9.268409,0.000000,0.000000,30.000000
0.000000,none,-0.008695,0.128270,0.179227,-9.022662,-0.938042,-36.693237,0.000000,0.000000,30.000000
0.000000,none,-0.008695,0.128270,-0.245681,-14.163580,-1.333044,-13.166719,0.000000,0.000000,30.000000
0.000000,none,-0.008695,0.128270,-0.689204,-14.784119,-1.903065,-19.000729,0.000000,0.000000,30.000000
0.000000,none,-0.008695,0.128270,-1.107830,-13.954187,-2.066012,-5.431565,0.000000,0.000000,30.000000
0.000000,none,-0.008695,0.128270,-1.389322,-9.383081,-1.891670,5.811405,0.000000,0.000000,30.000000
0.000000,none,-0.008695,0.128270,-1.486472,-3.238339,-1.488196,13.449124,0.000000,0.000000,30.000000
0.000000,none,-0.008695,0.128270,-1.536586,-1.670463,-1.794887,-10.223019,0.000000,0.000000,30.000000
0.000000,none,-0.008695,0.128270,-1.581111,-1.484156,-1.553836,8.035044,0.000000,0.000000,30.000000
0.000000,none,-0.008695,0.128270,-1.593125,-0.400483,-1.682747,-4.297054,0.000000,0.000000,30.000000
0.000000,none,-0.008695,0.128270,-1.503574,2.985047,-0.949324,24.447447,0.000000,0.000000,30.000000
0.000000,none,-0.008695,0.128270,-1.228600,9.165804,-0.356155,19.772295,0.000000,0.000000,30.000000
0.000000,none,-0.029302,0.098968,-0.804242,14.145273,0.525090,29.374823,0.000000,0.000000,30.000000
0.000000,none,-0.035315,0.063653,-0.341582,15.421997,0.729594,6.816822,0.000000,0.000000,30.000000
0.000000,none,-0.031751,0.031902,0.095742,14.577456,1.293619,18.800819,0.000000,0.000000,30.000000
0.000000,none,-0.023885,0.008017,0.479476,12.791128,1.272604,-0.700510,0.000000,0.000000,30.000000
0.000000,none,-0.004007,0.004010,0.730604,8.370933,1.240457,-1.071545,0.000000,0.000000,30.000000
0.000000,none,-0.026982,-0.022972,0.893588,5.432815,1.229385,-0.369088,0.000000,0.000000,30.000000
0.000000,none,-0.027177,-0.050149,0.917582,0.799777,0.706280,-17.436813,0.000000,0.000000,30.000000
0.000000,none,-0.027373,-0.077522,0.823510,-3.135713,0.546728,-5.318411,0.000000,0.000000,30.000000
0.000000,none,-0.027373,-0.077522,0.671074,-5.081209,0.156945,-12.992743,0.000000,0.000000,30.000000
0.000000,none,-0.027373,-0.077522,0.522519,-4.951823,0.265876,3.631002,0.000000,0.000000,30.000000
