motor_11,motor_12,motor_13,motor_14,motor_15,motor_17,motor_18,motor_19,motor_20,motor_21
2252.000000,1709.000000,1701.000000,2385.000000,1842.000000,2252.000000,2385.000000,2393.000000,1709.000000,1842.000000
2025.000000,1753.000000,2636.000000,2343.000000,2025.000000,2025.000000,2343.000000,1461.000000,1753.000000,2025.000000
2007.000000,1754.000000,2634.000000,2342.000000,2006.000000,2007.000000,2342.000000,1463.000000,1754.000000,2006.000000
1993.000000,1755.000000,2632.000000,2341.000000,1993.000000,1993.000000,2341.000000,1465.000000,1755.000000,1993.000000
1984.000000,1756.000000,2630.000000,2340.000000,1983.000000,1984.000000,2340.000000,1467.000000,1756.000000,1983.000000
1977.000000,1757.000000,2628.000000,2339.000000,1977.000000,1977.000000,2339.000000,1469.000000,1757.000000,1977.000000
1974.000000,1758.000000,2627.000000,2338.000000,1973.000000,1974.000000,2338.000000,1470.000000,1758.000000,1973.000000
1974.000000,1758.000000,2627.000000,2338.000000,1973.000000,1974.000000,2338.000000,1470.000000,1758.000000,1973.000000
1977.000000,1757.000000,2628.000000,2339.000000,1977.000000,1977.000000,2339.000000,1469.000000,1757.000000,1977.000000
1984.000000,1756.000000,2630.000000,2340.000000,1983.000000,1984.000000,2340.000000,1467.000000,1756.000000,1983.000000
1993.000000,1755.000000,2632.000000,2341.000000,1993.000000,1993.000000,2341.000000,1465.000000,1755.000000,1993.000000
2007.000000,1754.000000,2634.000000,2342.000000,2006.000000,2007.000000,2342.000000,1463.000000,1754.000000,2006.000000
2025.000000,1753.000000,2636.000000,2343.000000,2025.000000,2025.000000,2343.000000,1461.000000,1753.000000,2025.000000
2048.000000,1753.000000,2637.000000,2343.000000,2048.000000,2048.000000,2343.000000,1460.000000,1753.000000,2048.000000
2071.000000,1753.000000,2636.000000,2343.000000,2071.000000,2071.000000,2343.000000,1461.000000,1753.000000,2071.000000
2090.000000,1754.000000,2634.000000,2342.000000,2089.000000,2090.000000,2342.000000,1463.000000,1754.000000,2089.000000
2103.000000,1755.000000,2632.000000,2341.000000,2103.000000,2104.000000,2356.000000,1435.000000,1740.000000,2103.000000
2113.000000,1757.000000,2630.000000,2340.000000,2112.000000,2117.000000,2404.000000,1338.000000,1692.000000,2117.000000
2119.000000,1758.000000,2628.000000,2339.000000,2119.000000,2129.000000,2458.000000,1231.000000,1638.000000,2128.000000
2122.000000,1758.000000,2627.000000,2338.000000,2122.000000,2137.000000,2491.000000,1165.000000,1605.000000,2136.000000
2121.000000,1758.000000,2627.000000,2338.000000,2122.000000,2137.000000,2491.000000,1165.000000,1605.000000,2136.000000
2118.000000,1757.000000,2628.000000,2339.000000,2119.000000,2129.000000,2458.000000,1231.000000,1638.000000,2128.000000
2111.000000,1756.000000,2630.000000,2340.000000,2112.000000,2117.000000,2404.000000,1338.000000,1692.000000,2117.000000
2101.000000,1755.000000,2632.000000,2341.000000,2103.000000,2104.000000,2356.000000,1435.000000,1740.000000,2103.000000
2087.000000,1754.000000,2634.000000,2342.000000,2089.000000,2090.000000,2342.000000,1463.000000,1754.000000,2089.000000
2071.000000,1753.000000,2636.000000,2343.000000,2071.000000,2071.000000,2343.000000,1461.000000,1753.000000,2071.000000
2048.000000,1753.000000,2637.000000,2343.000000,2048.000000,2048.000000,2343.000000,1460.000000,1753.000000,2048.000000
2023.000000,1753.000000,2636.000000,2343.000000,2023.000000,2023.000000,2343.000000,1461.000000,1753.000000,2023.000000
2004.000000,1755.000000,2634.000000,2342.000000,2003.000000,2004.000000,2341.000000,1463.000000,1754.000000,2003.000000
1988.000000,1738.000000,2668.000000,2359.000000,1987.000000,1989.000000,2339.000000,1466.000000,1755.000000,1988.000000
1972.000000,1678.000000,2787.000000,2418.000000,1972.000000,1977.000000,2338.000000,1469.000000,1756.000000,1977.000000
1959.000000,1612.000000,2916.000000,2481.000000,1958.000000,1969.000000,2337.000000,1471.000000,1757.000000,1970.000000
1951.000000,1569.000000,2995.000000,2518.000000,1950.000000,1965.000000,2336.000000,1472.000000,1757.000000,1966.000000
1952.000000,1566.000000,2996.000000,2515.000000,1952.000000,1963.000000,2336.000000,1473.000000,1757.000000,1965.000000
1963.000000,1603.000000,2917.000000,2473.000000,1962.000000,1965.000000,2337.000000,1472.000000,1756.000000,1967.000000
1977.000000,1667.000000,2788.000000,2408.000000,1976.000000,1970.000000,2338.000000,1470.000000,1755.000000,1973.000000
1991.000000,1727.000000,2669.000000,2349.000000,1990.000000,1979.000000,2338.000000,1468.000000,1753.000000,1981.000000
2004.000000,1746.000000,2634.000000,2333.000000,2004.000000,1991.000000,2338.000000,1465.000000,1751.000000,1994.000000
2022.000000,1745.000000,2636.000000,2335.000000,2021.000000,2012.000000,2337.000000,1462.000000,1748.000000,2011.000000
2043.000000,1746.000000,2637.000000,2337.000000,2043.000000,2034.000000,2336.000000,1460.000000,1746.000000,2033.000000
2075.000000,1748.000000,2636.000000,2337.000000,2075.000000,2066.000000,2335.000000,1460.000000,1745.000000,2065.000000
2092.000000,1750.000000,2634.000000,2337.000000,2092.000000,2083.000000,2333.000000,1462.000000,1745.000000,2082.000000
2105.000000,1753.000000,2631.000000,2337.000000,2105.000000,2097.000000,2350.000000,1427.000000,1726.000000,2096.000000
2115.000000,1755.000000,2629.000000,2337.000000,2114.000000,2111.000000,2409.000000,1308.000000,1666.000000,2110.000000
2121.000000,1757.000000,2628.000000,2337.000000,2120.000000,2126.000000,2475.000000,1179.000000,1604.000000,2125.000000
2124.000000,1758.000000,2627.000000,2338.000000,2122.000000,2139.000000,2519.000000,1100.000000,1569.000000,2138.000000
2123.000000,1759.000000,2627.000000,2339.000000,2121.000000,2144.000000,2525.000000,1101.000000,1576.000000,2144.000000
2119.000000,1759.000000,2628.000000,2340.000000,2118.000000,2139.000000,2490.000000,1181.000000,1621.000000,2139.000000
2112.000000,1758.000000,2630.000000,2342.000000,2111.000000,2127.000000,2427.000000,1311.000000,1688.000000,2127.000000
2101.000000,1757.000000,2632.000000,2344.000000,2100.000000,2113.000000,2368.000000,1430.000000,1747.000000,2112.000000
2086.000000,1756.000000,2635.000000,2346.000000,2085.000000,2097.000000,2350.000000,1464.000000,1763.000000,2097.000000
2067.000000,1758.000000,2637.000000,2348.000000,2066.000000,2078.000000,2350.000000,1461.000000,1761.000000,2078.000000
2043.000000,1759.000000,2637.000000,2349.000000,2042.000000,2054.000000,2349.000000,1460.000000,1759.000000,2053.000000
2018.000000,1761.000000,2636.000000,2350.000000,2018.000000,2030.000000,2348.000000,1460.000000,1758.000000,2029.000000
1999.000000,1763.000000,2633.000000,2349.000000,1999.000000,2010.000000,2346.000000,1462.000000,1758.000000,2010.000000
1984.000000,1747.000000,2667.000000,2368.000000,1983.000000,1996.000000,2344.000000,1465.000000,1758.000000,1995.000000
1969.000000,1688.000000,2786.000000,2427.000000,1969.000000,1985.000000,2342.000000,1467.000000,1758.000000,1985.000000
1958.000000,1621.000000,2916.000000,2490.000000,1957.000000,1979.000000,2340.000000,1469.000000,1758.000000,1977.000000
1953.000000,1577.000000,2996.000000,2526.000000,1953.000000,1975.000000,2338.000000,1470.000000,1758.000000,1974.000000
1959.000000,1570.000000,2997.000000,2521.000000,1959.000000,1975.000000,2337.000000,1470.000000,1758.000000,1973.000000
1973.000000,1605.000000,2919.000000,2477.000000,1972.000000,1979.000000,2336.000000,1469.000000,1757.000000,1975.000000
1988.000000,1668.000000,2790.000000,2411.000000,1988.000000,1985.000000,2335.000000,1468.000000,1755.000000,1981.000000
