Accel_ax,Accel_ay,Accel_az
-0.035337,0.767792,10.011007
-0.993538,4.753457,3.649308
0.561572,0.781497,7.751046
-0.347968,5.566720,2.110669
-0.164077,-4.950445,12.705464
-1.194381,3.498940,12.127047
-1.672107,1.123909,8.246040
0.022755,2.041445,9.270584
0.028191,1.269447,9.474457
-0.275516,2.170716,9.087295
0.192770,1.620192,11.451899
3.418223,6.579183,16.314556
1.077859,-4.060889,1.919256
-1.742841,5.658552,15.060126
2.062151,-5.256713,5.887599
0.317225,-3.885561,4.459444
-2.487545,0.810978,5.413124
-15.449457,7.396492,-34.976227
-42.137356,-0.660220,-16.411173
-0.263911,-0.866469,5.892219
0.517534,-2.558347,10.139997
-8.891452,-3.323457,-14.251176
6.701581,-2.567867,17.674162
-7.088588,-0.151108,-1.949719
0.799582,-8.366182,10.643843
-1.008700,9.282410,6.618255
-1.194352,-9.103294,-5.662998
0.095018,16.066814,0.333812
-0.918099,0.372261,5.739625
-0.125277,3.698527,12.999896
23.360477,2.497971,33.283836
-45.583397,-4.585384,3.111382
54.135815,0.101262,50.354362
0.837909,-1.037646,8.979788
-4.731252,-1.675352,8.525316
53.221245,-2.971041,55.888245
-18.050344,-7.959783,-1.237455
-3.203605,0.120710,19.840530
-1.775009,-0.813372,8.903853
0.658412,-10.020650,2.380507
-0.528708,-8.182279,9.073602
-1.230347,1.789849,8.891897
-0.940426,0.954805,4.763597
-30.675398,-0.820006,-23.153269
23.915009,-6.186137,54.192528
8.514256,-0.803130,6.062988
-0.753217,-2.743539,10.383753
-10.252880,1.539833,-12.551026
5.344597,-1.634167,15.474192
-2.643684,-7.104472,7.652690
-0.939036,1.339550,7.752090
-5.353786,6.447424,3.505033
1.003200,3.613691,4.743033
-0.069496,3.163229,4.536816
1.610440,-11.251685,15.732334
3.983158,2.337672,12.785542
-13.740626,-2.816048,0.702399
-67.914948,2.318402,-32.177425
15.211471,-3.912588,20.148500
-1.407769,2.319854,9.310976
-1.665030,1.420225,8.688900
25.142921,6.531532,27.682814
-7.770463,0.249344,1.488836
-3.636997,-2.021275,14.544731
-0.467687,0.917253,6.594573
-0.570169,-4.132483,5.405544
1.013393,-2.825712,2.133505
-1.439308,3.540436,12.886971
3.905154,-2.741849,16.539274
16.044992,-4.883041,33.685936
-61.822979,0.471907,-31.310186
16.420795,-1.781925,23.956745
0.900979,0.099659,8.098985
-12.681598,-7.144620,-11.133699
0.138515,-1.182974,20.309868
41.764366,-0.276432,45.490952
-2.194203,-8.582345,18.362455
-1.846299,-1.045182,8.945519
